RACE_ETH_CODE|RACE_ETH_NAME
5910|Setalcott Indians
5912|Luiseno
5913|La Jolla Band of Luiseno Indians, California
5914|Pala Band of Mission Indians
5915|Pauma Band of Luiseno Mission Indians
5916|Pechanga Band of Luiseno Mission Indians
5917|Rincon Band of Luiseno Mission Indians
5918|Soboba Band of Luiseno Indians
5919|Temecula
5920|Twenty-Nine Palms Band of Luiseno Mission Indians
5922|Lumbee Tribe of North Carolina
5924|Lummi Tribe
5926|Maidu
5927|Berry Creek Rancheria of Maidu Indians
5928|Enterprise Rancheria of Maidu Indians
5929|Greenville Rancheria
5930|Mechoopda Indian Tribe of Chico Rancheria
5931|Mooretown Rancheria of Maidu Indians
5932|Mountain Maidu
5933|Nisenen (Nishinam)
5934|United Auburn Indian Community of the Auburn Rancheria of California
5936|Makah Indian Tribe
5938|Maliseet
5939|Houlton Band of Maliseet Indians
5943|Mattaponi Indian Tribe
5944|Upper Mattaponi Tribe
5948|Menominee Indian Tribe
5950|Metrolina Native American Association
5952|Miami (Tribe)
5953|Illinois Miami
5954|Indiana Miami
5955|Miami Tribe of Oklahoma
5957|Miccosukee Tribe of Indians of Florida
5959|Micmac
5960|Aroostook Band of Micmacs
5964|Mission Indians
5965|Cahuilla Band of Indians
5969|Miwok/Me-Wuk
5970|Buena Vista Rancheria of Me-Wuk Indians of California
5971|Chicken Ranch Rancheria of Me-Wuk Indians
5972|Ione Band of Miwok Indians
5973|Jackson Band of Miwuk Indians
5974|Shingle Springs Band of Miwok Indians
5975|Tuolumne Band of Me-Wuk Indians of California
5976|Wilton Rancheria
5979|Modoc
5980|The Modoc Tribe of Oklahoma
5984|Mohegan Tribe of Indians of Connecticut
5986|Monacan Indian Nation
5988|Mono
5989|Big Sandy Rancheria of Western Mono Indians of California
5990|Cold Springs Rancheria of Mono Indians
5991|North Fork Rancheria of Mono Indians
5993|Nanticoke
5995|Nanticoke Lenni-Lenape
5997|Narragansett Indian Tribe
5999|Navajo Nation
6001|Nez Perce Tribe
6003|Nipmuc
6004|Chaubunagungamaug Nipmuck
6005|Hassanamisco Band of the Nipmuc Nation
6008|Nomlaki
6009|Paskenta Band of Nomlaki Indians
6013|Alsea
6014|Celilo
6015|Columbia
6016|Kalapuya
6017|Molalla
6018|Talakamish
6019|Tenino
6020|Tillamook
6021|Wenatchee
6023|Omaha Tribe of Nebraska
6025|Oneida Nation
6027|Oregon Athabascan
6029|The Osage Nation
6031|Otoe-Missouria Tribe of Indians
6033|Ottawa
6034|Grand River Band of Ottawa Indians
6035|Little River Band of Ottawa Indians of Michigan
6036|Little Traverse Bay Bands of Odawa Indians
6037|Ottawa Tribe of Oklahoma
6043|Paiute
6044|Big Pine Paiute Tribe of the Owens Valley
6045|Bridgeport Paiute Indian Colony
6046|Burns Paiute Tribe
6047|Cedarville Rancheria
6048|Fort Bidwell Indian Community
6049|Fort Independence Indian Community
6050|Kaibab Band of Paiute Indians of the Kaibab Indian Reservation
6051|Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony
6052|Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada
6053|Malheur Paiute
6054|Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada
6055|Northern Paiute
6056|Paiute Indian Tribe of Utah (Southern Paiute)
6057|Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada
6058|San Juan Southern Paiute Tribe of Arizona
6059|Summit Lake Paiute Tribe of Nevada
6060|Susanville Indian Rancheria, California
6061|Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California
6062|Walker River Paiute Tribe of the Walker River Reservation, Nevada
6063|Winnemucca Indian Colony of Nevada
6065|Yerington Paiute Tribe of the Yerington Colony and Campbell Ranch, Nevada
6068|Shoshone Paiute
6069|Fort McDermitt Paiute and Shoshone Tribe of Nevada and Oregon
6070|Lone Pine Paiute-Shoshone Tribe
6071|Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada
6072|Bishop Paiute Tribe
6073|Shoshone-Paiute Tribes of the Duck Valley Reservation
6078|Pamunkey Indian Tribe
6080|Indian Township
6081|Passamaquoddy Tribe
6082|Pleasant Point Passamaquoddy
6085|Pawnee
6086|Pawnee Nation of Oklahoma
6090|Penobscot Nation
6093|Peoria Tribe of Indians of Oklahoma
6097|Pequot
6098|Eastern Pequot
6099|Mashantucket Pequot Indian Tribe
6100|Paucatuck Eastern Pequot
6102|Pima
6103|Gila River Indian Community of the Gila River Indian Reservation
6104|Maricopa
6105|Salt River Pima-Maricopa Indian Community
6107|Piscataway
6108|Piscataway Conoy Tribe
6109|Piscataway Indian Nation
6112|Alturas Indian Rancheria
6113|Pit River Tribe of California
6117|Pomo
6118|Big Valley Band of Pomo Indians of the Big Valley Rancheria
6119|Central Pomo
6120|Cloverdale Rancheria of Pomo Indians of California
6121|Coyote Valley Band of Pomo Indians of California
6122|Dry Creek Rancheria Band of Pomo Indians, California
6123|Eastern Pomo
6124|Elem Indian Colony of the Sulphur Bank Rancheria
6125|Federated Indians of Graton Rancheria
6126|Guidiville Rancheria of California
6127|Habematolel Pomo of Upper Lake
6128|Hopland Band of Pomo Indians
6129|Kashia Band of Pomo Indians of the Stewarts Point Rancheria
6130|Koi Nation of Northern California
6131|Lytton Rancheria of California
6132|Manchester Band of Pomo Indians of the Manchester Rancheria, California
6133|Middletown Rancheria of Pomo Indians
6134|Northern Pomo
6135|Pinoleville Pomo Nation
6136|Potter Valley Tribe
6137|Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California
6138|Robinson Rancheria
6139|Scotts Valley Band of Pomo Indians of California
6140|Sherwood Valley Rancheria of Pomo Indians of California
6141|Stonyford
6147|Ponca
6148|Ponca Tribe of Indians of Oklahoma
6149|Ponca Tribe of Nebraska
6152|Potawatomi
6153|Citizen Potawatomi Nation, Oklahoma
6154|Forest County Potawatomi Community, Wisconsin
6155|Hannahville Potawatomi Indian Tribe, Michigan
6156|Match-e-be-nash-she-wish Band of Pottawatomi Indians
6157|Nottawaseppi Huron Band of the Potawatomi, Michigan
6158|Pokagon Band of Potawatomi Indians
6159|Prairie Band Potawatomi Nation
6162|Powhatan
6164|Pueblo
6165|Ohkay Owingeh, New Mexico
6166|Piro Manso Tiwa Tribe
6167|Pueblo of Acoma
6168|Pueblo of Cochiti
6169|Pueblo of Isleta
6170|Pueblo of Jemez
6171|Pueblo of Laguna
6172|Pueblo of Nambe
6173|Pueblo of Picuris
6174|Pueblo of Pojoaque
6175|Pueblo of San Felipe
6176|Pueblo of San Ildefonso
6177|Pueblo of Sandia
6178|Pueblo of Santa Ana
6179|Pueblo of Santa Clara
6180|Kewa Pueblo, New Mexico
6181|Pueblo of Taos
6182|Pueblo of Tesuque
6183|Pueblo of Zia
6184|San Juan
6185|Ysleta Del Sur Pueblo of Texas
6186|Zuni Tribe of the Zuni Reservation
6189|Puget Sound Salish
6190|Duwamish
6191|Kikiallus
6192|Lower Skagit
6193|Marietta Band of Nooksack
6194|Muckleshoot Indian Tribe
6195|Nisqually Indian Tribe
6196|Nooksack Indian Tribe
6197|Puyallup Tribe of The Puyallup Reservation
6198|Samish Indian Nation
6199|Sauk-Suiattle Indian Tribe
6200|Skokomish Indian Tribe
6201|Skykomish
6202|Snohomish
6203|Snoqualmie Indian Tribe
6204|Squaxin Island Tribe of the Squaxin Island Reservation, Washington
6205|Steilacoom
6206|Stillaguamish Tribe of Indians of Washington
6207|Swinomish Indian Tribal Community
6208|The Suquamish Tribe
6209|Tulalip Tribes of Washington
6210|Upper Skagit Indian Tribe
6214|Quapaw Nation
6216|Quinault Indian Nation
6218|Rappahannock Tribe, Inc.
6220|Reno-Sparks Indian Colony, Nevada
6222|Round Valley Indian Tribes
6224|Klallam
6225|Jamestown S?Klallam Tribe
6226|Lower Elwha Tribal Community
6227|Port Gamble S'Klallam Tribe
6229|Sac and Fox
6230|Sac and Fox Nation of Missouri in Kansas and Nebraska
6231|Sac and Fox Nation, Oklahoma
6232|Sac and Fox Tribe of the Mississippi in Iowa
6234|Salinan
6236|Salish
6238|Confederated Salish and Kootenai Tribes of the Flathead Nation
6240|Saponi
6241|Occaneechi Band of the Saponi Nation
6245|Sappony
6247|Schaghticoke
6249|Seminole
6250|Seminole Tribe of Florida
6251|The Seminole Nation of Oklahoma
6259|Serrano
6260|San Manuel Band of Mission Indians, California
6264|Shasta
6265|Quartz Valley Indian Reservation
6269|Shawnee
6270|Absentee Shawnee Tribe of Indians of Oklahoma
6271|East of the River Shawnee
6272|Eastern Shawnee Tribe of Oklahoma
6273|Piqua Shawnee Tribe
6274|Shawnee Nation United Remnant Band
6275|Shawnee Tribe
6279|Shinnecock Indian Nation
6281|Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation
6283|Shoshone
6284|Confederated Tribes of the Goshute Reservation
6285|Timbisha Shoshone Tribe
6286|Duckwater Shoshone Tribe
6287|Eastern Shoshone Tribe of the Wind River Reservation, Wyoming
6288|Ely Shoshone Tribe
6289|Northwestern Band of the Shoshone Nation
6290|Skull Valley Band of Goshute Indians of Utah
6291|Yomba Shoshone Tribe of the Yomba Reservation, Nevada
6293|Confederated Tribes of Siletz Indians of Oregon
6295|Sioux
6296|Brule Sioux
6297|Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota
6298|Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota
6300|Flandreau Santee Sioux Tribe of South Dakota
6301|Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota
6302|Lower Sioux Indian Community in the State of Minnesota
6303|Mdewakanton Sioux
6304|Oglala Sioux Tribe
6305|Pipestone Sioux
6306|Prairie Island Indian Community
6307|Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota
6308|Santee Sioux Nation, Nebraska
6309|Shakopee Mdewakanton Sioux Community of Minnesota
6310|Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota
6311|Spirit Lake Tribe
6312|Standing Rock Sioux Tribe of North & South Dakota
6313|Teton Sioux
6314|Upper Sioux Community
6315|Wahpekute Sioux
6316|Wazhaza Sioux
6317|Yankton Sioux Tribe of South Dakota
6318|Yanktonai Sioux
6320|Siuslaw
6322|Spokane Tribe of The Spokane Reservation
6324|Stockbridge-Munsee Community
6326|Te-Moak Tribes of Western Shoshone Indians of Nevada
6336|Arikara (Sahnish)
6337|Hidatsa
6338|Mandan
6339|Three Affiliated Tribes of Ft. Berthold Reservation, North Dakota
6341|Tohono O?odham Nation of Arizona
6346|Tolowa
6347|Big Lagoon Rancheria
6348|Elk Valley Rancheria
6349|Tolowa Dee-Ni' Nation
6351|Tonkawa Tribe of Indians of Oklahoma
6353|Tygh
6355|Confederated Tribes of the Umatilla Indian Reservation
6357|Umpqua
6358|Cow Creek Band of Umpqua Tribe of Indians
6362|Ute
6363|Southern Ute Indian Tribe of the Southern Ute Reservation
6364|Ute Indian Tribe of the Uintah and Ouray Reservation, Utah
6365|Ute Mountain Ute Tribe
6367|Wailaki
6369|Walla Walla
6371|Wampanoag
6372|Assonet Band of the Wampanoag Nation
6373|Chappaquiddick Tribe of the Wampanoag Indian Nation
6374|Herring Pond Wampanoag Tribe
6375|Mashpee Wampanoag Tribe
6376|Pocasset Wampanoag
6377|Pokanoket (Royal House of Pokanoket)
6378|Ponkapoag
6379|Seaconke Wampanoag
6380|Wampanoag Tribe of Gay Head (Aquinnah)
6386|Confederated Tribes of Warm Springs
6388|Wasco
6390|Alpine
6391|Washoe Tribe of Nevada and California
6395|Wichita and Affiliated Tribes, Oklahoma
6400|Wind River
6402|Winnebago
6403|Winnebago Tribe of Nebraska
6407|Wintun
6408|Cachil Dehe Band of Wintun Indians of the Colusa Rancheria
6409|Kletsel Dehe Band of Wintun Indians
6410|Yocha Dehe Wintun Nation, California
6412|Grindstone Indian Rancheria of Wintun-Wailaki Indians
6414|Blue Lake Rancheria
6415|Wiyot Tribe, California
6419|Confederated Tribes and Bands of the Yakama Nation
6421|Yakama Cowlitz
6423|Yaqui
6424|Pascua Yaqui Tribe of Arizona
6428|Yavapai Apache Nation of the Camp Verde Indian Reservation
6430|Yokuts
6431|Picayune Rancheria of Chukchansi Indians
6432|Table Mountain Rancheria
6433|Tachi
6434|Tejon Indian Tribe
6435|Tule River Indian Tribe
6440|Yuchi
6441|Ani-stohini/Unami
6445|Cocopah Tribe of Arizona
6446|Fort Mojave Indian Tribe of Arizona, California, and Nevada
6447|Havasupai Tribe of the Havasupai Reservation
6448|Hualapai Indian Tribe of the Hualapai Indian Reservation
6450|Quechan Tribe of the Fort Yuma Indian Reservation, California and Arizona
6451|Yavapai-Prescott Tribe of the Yavapai Reservation
6455|Yurok Tribe
6456|Resighini Rancheria
6460|Tribal responses, Not Elsewhere Classified
6500|Canadian Indian
6501|French Canadian/French American Indian
6502|Abenaki Canadian
6503|Acadia Band
6504|Ache Dene Koe
6505|Ahousaht
6506|Alderville First Nation
6507|Alexandria Band
6508|Algonquins of Barriere Lake
6509|Batchewana First Nation
6510|Beardys and Okemasis Band
6511|Beausoleil
6512|Beecher Bay
6513|Bella Coola (Nuxalk Nation)
6514|Beothuk
6515|Big Cove
6516|Big Grassy
6517|Bigstone Cree Nation
6518|Bonaparte Band
6519|Boston Bar First Nation
6520|Bridge River
6521|Brokenhead Ojibway Nation
6522|Buffalo Point Band
6523|Caldwell
6524|Campbell River Band
6525|Cape Mudge Band
6526|Carcross/Tagish First Nation
6527|Caribou
6528|Carrier Nation
6529|Carry the Kettle Band
6530|Cheam Band
6531|Chemainus First Nation
6532|Chilcotin Nation
6533|Chippewa of Sarnia
6534|Chippewa of the Thames
6535|Chippewa/Ojibwe Canadian
6536|Clayoquot
6537|Cold Lake First Nations
6538|Coldwater Band
6539|Comox Band
6540|Coquitlam Band (Kwikwetlem First Nation)
6541|Cote First Nation
6542|Couchiching First Nation
6543|Cowessess Band
6544|Cowichan
6545|Cree Canadian
6546|Cross Lake First Nation
6547|Curve Lake Band
6548|Dene Band Nwt (NW Territory)
6549|Dene Canadian
6550|Ditidaht Band
6551|Dogrib
6552|Eagle Lake Band
6553|Eastern Cree
6554|Ebb and Flow Band
6555|English River First Nation
6556|Eskasoni
6557|Esquimalt
6558|Fisher River
6559|Five Nations
6560|Fort Alexander Band
6561|Garden River Nation
6562|Gibson Band (Wahta Mohawk)
6563|Gitksan
6565|Grassy Narrows First Nation
6566|Gull Bay Band
6567|Gwichya Gwich'in
6568|Heiltsuk Band
6569|Hesquiaht Band
6570|Hiawatha First Nation
6571|Hope Band (Chawathil Nation)
6572|Huron
6573|Huron of Lorretteville
6574|Innu (Montagnais)
6575|Interior Salish
6576|James Bay Cree
6577|James Smith Cree Nation
6578|Kahkewistahaw First Nation
6579|Kamloops Band
6580|Kanaka Bar
6581|Mohawks of Kanesatake
6582|Kaska Dena
6583|Keeseekoose Band
6584|Nisga'a Nation
6585|Kingsclear Band
6586|Kitamaat
6587|Kitigan Zibi Anishinabeg
6588|Klahoose First Nation
6589|Kwakiutl
6590|Kyuquot Band
6591|Lakahahmen Band
6592|Lake Manitoba Band
6593|Lake St. Martin Band
6594|Lennox Island Band
6595|Liard River First Nation
6596|Lillooet
6597|Little Shuswap Band
6598|Long Plain First Nation
6599|Lower Nicola Indian Band
6600|Malahat First Nation
6601|Matachewan Band
6602|Mcleod Lake
6603|Metis
6604|Millbrook First Nation
6605|Mississaugas of the Credit
6606|Mohawks of the Bay of Quinte
6607|Mohawk Canadian
6608|Mohawk Kahnawake
6609|Mohican Canadian
6610|Musqueam Band
6611|N?Quatqua (Anderson Lake)
6612|Namgis First Nation (Nimpkish)
6613|Nanaimo (Snuneymuxw)
6614|Nanoose First Nation
6615|Naskapi
6616|Nation Huronne Wendat
6617|Nipissing First Nation
6618|North Thompson Band (Simpcw First Nation)
6619|Nuu-chah-nulth (Nootka)
6620|Odanak
6621|Ohiaht Band (Huu-ay-aht First Nation)
6622|Oneida Nation of the Thames
6623|Opaskwayak Cree Nation
6624|Osoyoos Band
6625|Pacheedaht First Nation
6626|Pauquachin
6627|Peepeekisis
6628|Peguis
6629|Penelakut
6630|Penticton
6631|Pine Creek
6632|Plains Cree
6633|Rainy River First Nations
6634|Red Earth Band
6635|Listuguj Mi'Gmaq First Nation
6636|Roseau River
6637|Saddle Lake
6638|Sakimay First Nations
6639|Sandy Bay Band
6640|Sarcee (Tsuut'Ina Nation)
6641|Saugeen
6642|Saulteau First Nations
6643|Saulteaux
6644|Seabird Island
6645|Sechelt
6646|Seine River First Nation
6647|Serpent River
6648|Seton Lake
6649|Shoal Lake Cree Nation
6650|Shuswap
6651|Siksika Canadian
6652|Similkameen
6653|Six Nations Canada
6654|Six Nations of the Grand River
6655|Skawahlook First Nation
6656|Skeetchestn Indian Band
6657|Skookum Chuck Band
6658|Skowkale
6659|Skuppah
6660|Skwah First Nation
6661|Skway First Nation
6662|Songhees First Nation
6663|Soowahlie First Nation
6664|Spuzzum First Nation
6665|Squamish Nation
6666|Stanjikoming First Nation
6667|Sto:lo Nation
6668|Stone
6669|Sucker Creek First Nation
6670|Swampy Cree
6671|Tahltan
6672|Taku River Tlingit
6673|Tete De Boule (Attikamek)
6674|Thompson
6675|Tobacco Plains Band
6676|Tobique First Nation
6677|Toquaht
6678|Tsartlip
6679|Tsawout First Nation
6680|Tseycum
6681|Uchucklesaht
6682|Ucluelet First Nation
6683|Vuntut Gwitchin First Nation
6684|Wabauskang First Nation
6685|Walpole Island
6686|Wasauksing First Nation
6687|Waywayseecappo First Nation
6688|West Bay Band
6689|White Bear Band
6690|Whitefish Lake Band
6691|Wikwemikong
6692|Wolf Lake Band
6693|Woodland Cree First Nation
6694|Woodstock First Nation
6695|Xaxli'p First Nation (Fountain Band)
6696|Canadian Indian, Not Elsewhere Classified
6800|Central American Indian
6801|Belizean Indian
6802|Cakchiquel
6803|Choco
6804|Costa Rican Indian
6805|Salvadoran Indian
6806|Guatemalan Indian
6807|Guatemalan Mayan
6808|Guaymi
6809|Honduran Indian
6810|Kanjobal
6811|Kekchi
6812|Kuna Indian
6813|Lenca
6814|Maya Central American
6815|Miskito
6816|Nicaraguan Indian
6817|Panamanian Indian
6818|Pipil
6819|Quiche
6820|Rama
6821|Sumo
6822|Nahua
6839|Central American Indian, Not Elsewhere Classified
6840|Mexican Indian
6841|Amuzgo
6843|Aztec
6844|Chatino
6845|Chinantec
6846|Chocho
6847|Concho
6848|Cora
6849|Cochimi
6850|Cuicatec
6851|Huastec
6852|Huave
6853|Huichol
6854|Ixcatec
6855|Lacandon
6856|Lagunero
6857|Mazahua
6858|Mazatec
6859|Mixe
6860|Mixtec
6861|Nahuatl
6862|Olmec
6863|Opata
6864|Otomi
6865|Popoluca
6866|Seri
6867|Tarahumara (Raramuri)
6868|Tarasco (Purepecha)
6869|Tepehua
6870|Tequistlatec
6871|Tlapanec
6872|Tojolabal
6873|Toltec
6874|Triqui (Trique)
6875|Tzeltal
6876|Tzotzil
6877|Zapotec
6878|Zoque
6879|Mexican American Indian
6880|Chichimeca
6914|Mexican Indian, Not Elsewhere Classified
6915|South American Indian
6916|Ache Indian
6917|Amazon Indian
6918|Andean Indian
6919|Arawak
6920|Argentinean Indian
6921|Aymara
6922|Bolivian Indian
6923|Brazilian Indian
6924|Canela
6925|Chilean Indian
6926|Colombian Indian
6927|Ecuadorian Indian
6928|Guarani
6929|Guyanese South American Indian
6930|Inca
6931|Mapuche (Araucanian)
6932|Maya South American
6933|Paraguayan Indian
6934|Peruvian Indian
6935|Quechua
6936|Quichua
6937|Tehuelche
6938|Tupi
6939|Uruguayan Indian
6940|Venezuelan Indian
6941|Zaparo
6959|South American Indian, Not Elsewhere Classified
6960|Caribbean Indian
6961|Carib
6962|Taino
6963|Dominican Indian
6964|Puerto Rican Indian
6965|Cuban Indian
6974|Caribbean Indian, Not Elsewhere Classified
6975|Spanish American Indian
6979|Spanish American Indian, Not Elsewhere Classified
6980|Mesoamerican Indian
6981|Mayo
6982|Maya
6989|Mesoamerican Indian, Not Elsewhere Classified
7001|Middle Eastern or North African (Write-in)
7004|Middle Eastern or North African (Edit Generated)
7010|Algerian
7020|Arab
7030|Assyrian
7040|Bahraini
7050|Berber
7060|Chaldean
7071|Egyptian
7072|Copt
7080|Emirati
7091|Iranian
7100|Iraqi
7111|Israeli
7120|Jordanian
7130|Kurdish
7140|Kuwaiti
7151|Lebanese
7160|Libyan
7170|Middle Eastern
7181|Moroccan
7190|North African
7200|Omani
7210|Palestinian
7220|Qatari
7230|Saudi
7240|Syriac
7251|Syrian
7260|Tunisian
7270|Yazidi
7280|Yemeni
7399|Middle Eastern or North African Responses, Not Elsewhere Classified
7500|Native Hawaiian and Other Pacific Islander (Checkbox)
7501|Native Hawaiian and Other Pacific Islander (Write-in)
7502|Pacific Islander American (By Checkbox)
7503|Pacific Islander American (By Write-in)
7504|NHPI (Edit Generated)
7505|Polynesian
7510|Cook Islander
7515|Easter Islander
7520|French Polynesian
7525|Maori
7530|Native Hawaiian (Detailed Checkbox)
7531|Native Hawaiian
7532|Hawaiian
7535|Part Hawaiian
7540|Niuean
7545|Rotuman
7550|Samoan (Detailed Checkbox)
7551|Samoan
7555|Tahitian
7561|Tongan
7565|Tokelauan
7570|Tuvaluan
7575|Wallisian and Futunan
7604|Polynesian Responses, Not Elsewhere Classified
7605|Micronesian
7610|Carolinian
7615|Chamorro (Detailed Checkbox)
7616|Chamorro
7620|Chuukese
7625|Guamanian
7630|I-Kiribati
7635|Kosraean
7641|Marshallese
7642|Bikinian
7643|Ejit
7644|Kili
7645|Mili
7646|Enewetak Islander
7647|Ujelang
7648|Ebeye
7649|Kwajalein Islander
7655|Nauruan
7660|Northern Mariana Islander
7665|Palauan
7670|Pohnpeian
7675|Saipanese
7680|Yapese
7704|Micronesian Responses, Not Elsewhere Classified
7705|Melanesian
7711|Fijian
7712|Indo Fijian
7715|Papua New Guinean
7720|Solomon Islander
7725|Ni-Vanuatu
7730|New Caledonian
7804|Melanesian Responses, Not Elsewhere Classified
7805|Other Pacific Islander (Checkbox)
7806|Pacific Islander
8000|Some Other Race (Checkbox)
8001|Some Other Race (Write-in)
8002|Other Race
8003|Some Other Race American (By Checkbox)
8004|Some Other Race American (By Write-In)
8005|SOR (Edit Generated)
8010|Aborigines
8020|Aruban
8030|Aryan
8040|Belizean
8050|Bermudan
8060|Brazilian
8080|Cabo Verdean
8090|Caribbean
8100|Cayman Islander
8120|Comorian
8130|Creole
8140|Guyanese
8141|Guyanese Indian
8170|Indian
8180|Indigenous
8190|Mauritanian
8200|North American
8210|Other Caribbean or South American Responses, Not Elsewhere Classified
8220|Surinamese
8230|Turkic
8500|Amerasian
8510|Biracial
8520|Eurasian
8530|Interracial
8540|Mixed
8549|Mixed Responses, Not Elsewhere Classified
8550|Mulatto
8560|Multicultural
8570|Multiracial
9950|Not Hispanic (checkbox)
